place_name,review_text
Vinitus,"The freshest tapas place in town, all seafood was served perfect! Would love to recommend friends to come."
Vinitus,I understand why there are so many customers. I am satisfied with the food and atmosphere. Even service^^
Vinitus,"Our favourite tapas in Barcelona. Excellent choice of dishes especially seafood, all prepared freshly, great ambience & friendly servers"
Vinitus,"Very nice local restaurant. I dont know if you can reserve but today, Friday night, it was full of people and waiting at the door with names written down until the girl calls you to sit at the table. The truth is that they prepare some dishes in front of you very well. Nice decoration."
Vinitus,Exquisite tapas. For the waiter Marc a rating of 10.
Vinitus,"Avoid. Normally I do not give 1 star as there is always some quality that is worth more. But this place is horrible in all ways. First, food is totally not worth it. They take the meaning of tapas to extreme that the portion is all size of small appetizer. They have the easy tourist scam of only providing lobster paella which again is waste of money. It does not taste like lobster and the lobster was not fresh. (Image) Worst part is the service. There are many filipino servers who are good as gossiping and bad at serving. The service totally ruins the whole mood."
Vinitus,"Its really so delicious...!!! Honey cod really has a crazy, crazy, crazy taste!!! Even after eating to our hearts content with four women, we only ended up paying 140 euros. Yaho"
Vinitus,
Vinitus,"The cuisine is good, elaborate tapas and successful dishes but there are a lot of people, a lot of tourists (it must be in the guides) you have to wait in line to get in and it is a very large place, two floors."
Vinitus,"In the meantime, I traveled to Lisbon, Porto, Seville, and Ronda and came to Barcelona. The most delicious food I had... I sat at the bar and the male staff member, who had years of experience, was very quick and friendly. There seems to be a reason why things are going well..."
Vinitus,Great restaurant with great cuisine and various excellently made dishes. Highlights include their prawn and squid skewers and their torrijas.
Vinitus,
Vinitus,"We like it a lot and we always try to go, the only bad thing is that they dont reserve and at rush hour you can wait 45 minutes in an easy queue. The food was quite good, quality/price very good and the waiters were very attentive and friendly. Nothing is ever missing. I recommend the lobster rice, fried eggs and sirloin with foie among many others."
Vinitus,Beautiful restaurant and delicious vegetarian dishes
Vinitus,
Vinitus,"Good restaurant for tapas or a meal to share. Very friendly service despite the number of people there. I think it is not possible to reserve, it is better to go there early. The food is very tasty and well presented. The right house wine."
Vinitus,"The seafood served weren t fresh. Ordered mussels and shrimp, and kept vomiting after that"
Vinitus,Delicious tapas! One of the best places to be in Barcelona! The only thing is that they dont accept reservations.
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,Kid-friendliness: Luogo adatto ai bambini Food
McDonald's,"Terrible attention, the people who work there have no education at all."
McDonald's,"Incomplete dishes due to lack of ingredients, so whatever you order they give you what they want"
McDonald's,
McDonald's,
McDonald's,"Table service, beautiful and hot burger, surprising to see a McDonalds burger that really looks like its ad. Negative point, small parking lot."
McDonald's,
McDonald's,
McDonald's,Fast and correct
McDonald's,
McDonald's,
McDonald's,Open 24 hours but only serves vehicles
McDonald's,Orderly and spacious
McDonald's,
McDonald's,
McDonald's,
McDonald's,Good
McDonald's,
McDonald's,Everything well
McDonald's,This McDonalds is very worth it
McDonald's,
McDonald's,
McDonald's,
McDonald's,"I went for dinner and went for the chicken burger, fries, coke and ice cream combo. Very good"
McDonald's,I have been to many Mac Donalds and this one disappointed me a little with the lack of friendliness of the staff.
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,They close half an hour early
McDonald's,
McDonald's,
McDonald's,
McDonald's,Check carefully when you pick up at McAuto. I check quickly because there is a queue. I get home and see that the burger is small but its good that you charge me for the large menu. You havent even added ketchup or deluxe sauce.
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,"McDonalds, what to say, almost everyone likes it, I personally prefer Burger King."
McDonald's,
McDonald's,You re glad this is here. Don t pretend like you aren t
McDonald's,Super good .
McDonald's,At 12 noon the parking lot is still closed.
McDonald's,
McDonald's,
McDonald's,
McDonald's,
McDonald's,"Only if you are starving, food photos are not the same as what they bring you later"
McDonald's,
McDonald's,"Free Wi-FI but lack of renovation work in the areas, service a little slow Vegetarian options: There are vegetarian wraps and some sandwiches Parking: 200 seats on average, quite easy to find a seat Kid-friendliness: Many childrens games and parks nearby"
McDonald's,
McDonald's,"Because they dont make ice cream with coffee at the Burger King, they do and they are great, and everything is very good and perfect service."
McDonald's,"Only reason i give 1 star is because micky Ds in spain do not service vegetarian and vegans, come on spain you are miles behind the rest of the world."
McDonald's,
McDonald's,The good thing about this McDonalds is the upper terrace that overlooks the sea.
McDonald's,
McDonald's,
McDonald's,
McDonald's,I dont know if something was wrong but mc auto 20 minute wait
McDonald's,
McDonald's,
McDonald's,I honestly didnt like it
McDonald's,
McDonald's,They force you to order on the screen
McDonald's,"They dont let us order food because we dont pollute by using the car, motorcycle or other means of transportation that helps to increase the heat island that little by little is making Barcelonas once prosperous city uninhabitable. Starting at a certain time, they allow people who walk and do not pollute to order food, which is discriminatory and harmful to the rest of the citizens. Shame."
McDonald's,Good
McDonald's,Parking: 4 plazas Food
McDonald's,"One of the worst or the worst McDonalds in Catalonia. You order a medium menu and the potatoes come in the amount of a small one, then Coca-Cola without gas and the staffs response is. This is a McDonalds so because its a McDonalds, quality doesnt matter. Im not talking about the waits to eat, well have to see if its due to lack of staff and its not the employees fault. Parking: Parking is not easy, since there are very few spaces."
McDonald's,Slow staff
McDonald's,"Vegetarian options: I wish they had more!! Kid-friendliness: Very spacious,  2 floors and outdoor area. Wheelchair accessibility: Was easy to navigate."
McDonald's,
McDonald's,I am a driver when it was McDonalds to order only coffee the guy tells me that the machine is not there we clean the machine many times this happens to me and when ordering a large order with a coffee the machine always works
McDonald's,
McDonald's,
McDonald's,
McDonald's,The food was quite cold and things were missing from the order.
McDonald's,
McDonald's,fast food restaurant
McDonald's,
McDonald's,I give one star only for the problem of the PU74 pigeons...after years and years they still havent solved the problem :(
McDonald's,
McDonald's,tasty!
McDonald's,"Not very clean, but its a decent mcdonalds. It has services open only to clients."
McDonald's,"Unfortunately, my recent experience at McDonalds was disappointing. The quality of the fries left a lot to be desired, showing that they were old. The taste and quality of the burger was also lower than expected. Although the employee assured that there was ketchup and napkins, they were not found in the order. This lack of coherence between what was promised and reality negatively affected my experience at the establishment."
McDonald's,
McDonald's,Excellent
McDonald's,perfect
McDonald's,"Fast food August from all the staff who attend the children and the not so children, the ages are great"
McDonald's,A macdo that opens at 10 and has no bread for breakfast because it is frozen on a Sunday is just the reflection of bad management. Although the manager did everything possible to prepare breakfast with hamburger buns and also help me give me another alternative. So thanks to the manager!
McDonald's,
McDonald's,
McDonald's,"A McDonalds, just like that. It was clean and the food was served fresh. Good."
La Flauta,
La Flauta,
La Flauta,
La Flauta,"Busy place but a great stop for a quick, affordable, delicious breakfast."
La Flauta,"Perfect place! We were there 5 times during our vacation, and we were delighted every time! Great prices, fast and friendly service, plenty of seating. I recommend trying the tomato bread and carbonara, it s simply top notch, although everything we tried was delicious!"
La Flauta,Good food and good service
La Flauta,"Food is very average, staff service and attitude is bad. Servers are very unprofessional and the atmosphere appeals to be a classy restaurant, but in reality feels more like a family restaurant."
La Flauta,"This place sells the same menu as Vinitus, but the honey cod here feels a bit more authentic. The honey cod, foie gras steak, and clams were all satisfactory, and the staffs response was also excellent."
La Flauta,
La Flauta,Excellent food and attention. Highly recommended
La Flauta,"It is a highly recommended place to stay at any time of the day. In addition to the lunch menu, they have a large selection of tapas to share. The terrace is small but very comfortable and welcoming. Friendly staff fast and efficient. Very good value for money"
La Flauta,"Amazing tapas, everything we tried was absolutely delicious and fresh, also the dessert. If we had more time in Barcelona, wed definitely try it again"
La Flauta,
La Flauta,The portions are not big and the price is very reasonable. Two or three people can try 6-10 dishes. No need to worry about scams and prices.
La Flauta,"A charming place, with a wide variety of dishes, an excellent mid-day menu and an extensive menu to order tapas, plates and dishes and enjoy Mediterranean cuisine.. 10/10! wonder of the Lord     !"
La Flauta,"Very good value for money, I will repeat."
La Flauta,Its good to eat and its not that expensive.
La Flauta,
La Flauta,"Super well attended, everything was delicious and the price was fair. I will return without a doubt"
La Flauta,"Excellent tapas dinner, very well made and tasty dishes, huge choice, quick service. We arrived at 7.20pm, the restaurant was almost full and within a few minutes it was completely full. After about an hour we went out and there was a waiting queue of about 30 meters outside the venue, they dont accept reservations but sooner or later they give everyone a seat. Its worth it both for the dishes and the very low prices."
La Flauta,
La Flauta,"We have been many times, delicious food for all tastes and friendly and quality service!"
La Flauta,
La Flauta,"Not too expensive, but fantastically delicious food, in the heart of the city. I recommend it to everyone!"
La Flauta,Be
La Flauta,
La Flauta,The eggs with mushrooms and foie gras were very good
La Flauta,We have come many times and for many years. Always loyal to service and quality/price. Its a pleasure to come to the flute.
La Flauta,"The food was great and the price is very fair. The waiter we had was very rude, he made an effort to ignore us, refused to help us with the menu, and generally acted as if we were wasting his time. This repeated multiple times during our meal and really had us itching to leave. Food : 4/5"
La Flauta,
La Flauta,
La Flauta,
La Flauta,
La Flauta,Strongly recommended if you are travelling to Tossa De Mar.
La Flauta,"The only restaurant I visited twice in 8 days in Spain. I dont think there is another Hyeja restaurant like this in Barcelona. The menu is almost the same as Vinitus and Ciudad Condal, but the prices are cheaper and the portions are larger! There are a lot of people, so you have to wait in line after 8 oclock (you can be attacked by crazy cigarette smoke while waiting in line), and its very busy, so I cant say the staff are friendly, but if you eat giant honey cod, youll change your mind! Its much bigger than other places, and they have aioli and honey sprinkled generously.. Its busy, so Koreans like it when things are done in a hurry. The speed of menus and calculations is almost like that of Koreans. You might want to go there at least once, right? Spaniards do it before dinner. Go early~"
La Flauta,"Food is delicious... I just wish I could cook, not run a business."
La Flauta,"Great chefs , Excelent food , excelent! A bit noisy on the upper level where the dishes and storage is located"
La Flauta,We come from time to time and always satisfied
La Flauta,
La Flauta,
La Flauta,
La Flauta,"Great menu during the week. Friendly service and very well prepared food. Of all the restaurants visited in the city, I thought this was the best value for money."
La Flauta,"Les tapas sont tout simplement excellents ! Les prix un poil eleve pour Barcelone mais ca vaut le coup La file d attente peu paraitre longue, mais en 30min on est a l interieur et la fraicheur des plats vaut a mes yeux cette attente Foncez sur les fruits de mers !"
La Flauta,
La Flauta,
La Flauta,Perfect place to try local food while visiting barcelona
La Flauta,"Fantastic food, suprisingly affordable prices:)"
La Flauta,
La Flauta,"All the staff were very kind. We went there around five oclock and there was no queue. We were worried that we wouldnt know what to order after looking at the names of the dishes, so we cut out a picture of the picture menu of what we wanted to eat and directly asked the staff to order according to the picture. The total meal for two people was 86 euros. It was very filling, the dining atmosphere was great and the food was delicious. It was the most delicious meal we have had in Spain so far. I highly recommend the honey cod, foie gras steak, octopus feet, bamboo fungus and grilled shrimp. Every dish is made with care, and the fruit wine is also delicious. Overall, there is nothing to fault. The only thing that I think is better is the stew. As for rice, maybe we eat too much rice in Taiwan, and the store also provides bread, so the starch can be replaced. Conclusion: This is a store that I am willing to return and recommend to others"
La Flauta,The restaurant was busy. The foie with beef steak was average in flavor. The grilled seafood platter tasted good but was a bit pricey. The honey codfish was way too salty. Overall it was ok but I wouldnt come back
La Flauta,
La Flauta,
La Flauta,
La Flauta,Good food. There is a long line but it is worth it.
La Flauta,
La Flauta,The best place in Barcelona that we have discovered 12 years ago and it is still amazing. Food is amazing and Prices are great. During the last visit we had 6 out of 7 meals there
La Flauta,
La Flauta,
La Flauta,"My favorite restaurant in Barcelona. Ill pass alone. Amazing tapas, friendly staff. Especially the fried eggplant with honey was excellent. The kind that makes your palate crack.   you should try everything because everything is delicious, everything is wonderful"
La Flauta,"Everything was great , fresh and delicious. You can find high quality sea products. They have a good atmosphere and good service. Also p/p is acceptable. We hope we will come back."
La Flauta,
La Flauta,Best tapas in town !
La Flauta,We love! We always go to celebrate colleagues birthdays there! Very good menu and service. I would love for you to accept reservations Recommended
La Flauta,
La Flauta,
La Flauta,Good and varied food and good service
La Flauta,"La Flauta was recommended to us by a friend from Barcelona and we understood why right when we entered the place. You can see how fresh the ingredients are on display at the entrance. We arrived at around 6:30pm and did not wait, but the queue quickly built up and by 8 it was huge. Arrive early! For food, we loved the burrata, the fried aubergine, huevos cabreros, and the fritata mista. For dessert, the Sta. Theresa is so good we ended up asking for another one. Service could be more attentive however."
La Flauta,Great food!!!
La Flauta,"I found a better tapas place than Vinitus. I was a bit shocked to see a Korean review on Google, but I was glad I saw it later.. (It was a photo of B appearing in the store) Its been a few months so I guess Ive been paying attention~ I waited for the food I ordered, but all the food was really delicious. In particular, the honey cod had a sweeter taste than Vinitus, and they gave me a lot of tomatoes, so I was happy       Even the dishwashing shot was certified!"
La Flauta,"Absolutely phenomenal in every regard. We were a foursome and dined here twice and ordered a huge variety of tapas along with red and white sangria and eight different dessert options and everything was delicious. You can literally throw a dart at their menu and order whatever the dart chooses for you. Service was prompt and friendly, prices were ridiculously affordable (never more than 20 euros per person. Suggest you make reservations or arrive before 8 pm or be ready for a long line. Highest recommendation."
La Flauta,Very nice place. Elegant. The welcome was most pleasant. It made the wait a lot less boring. Excellent dishes.
La Flauta,"No matter where you look at it, the service is amazing, the food is amazing, a 10, thank you for everything."
La Flauta,
La Flauta,As always the best
La Flauta,I ate very well even though I waited half an hour because everything was full... it was worth the wait because it was great Vegetarian options: Everything delicious and fresh
La Flauta,
La Flauta,The food is very good and the staff is extremely friendly and efficient.
La Flauta,"This restaurant, as well as those that belong to the same ownership, has an exceptional tapas menu. The menu is the same in all restaurants. You cannot book and you can easily wait from 30 minutes to over an hour. Times to avoid are 7.30pm to 10.30pm. Before or after you generally dont expect more than 10 Minutes. But its absolutely worth it."
La Flauta,Good food for not a lot of money
La Flauta,
La Flauta,Good quality food. Fast service.
La Flauta,
La Flauta,
La Flauta,
La Flauta,What a great tent. Been twice during our stay in Barcelona. First time eating outside. Second time in. Highly recommended. Many local visitors and I think that is not without reason. Price is really very good. People super friendly and food soooo delicious.
La Flauta,"Excellent address, cuisine in front of you. Only one downside: the tapas arrive one after the other too quickly. Its a shame from this point of view."
La Flauta,
La Flauta,"Tastes are terrific! but services are not great as other busy restaurants. I got there around 1:30 pm, and there were many people waiting in a line, but I was a single and was serviced without waiting. I tried honey cods and anchovies with a clara and a sangria. They are all great, one of the best! Actually, I ordered Tinto de Verano, but they brought sangria."
La Flauta,"Great!! I love La Flute and all its menu! Very fresh product, well cooked and at a very competitive price!!"
La Flauta,
La Flauta,
La Flauta,Arrived before 6pm and there was no queue. The service was fast and the food was excellent. Definitely recommend going to this restaurant.
La Flauta,"He has lost a lot. We went to eat after a long time. They served us poorly, in a hurry and the waitress made a mistake. When telling him about the error, he tells us in a bad way that he has already gone through it and that they are going so fast that changing it is a problem for him, we ignore it. The food... rich but fair and cold. The fish was good and well cooked (although it was not what I had ordered), supposedly accompanied with vegetables, it only had four pieces of zucchini (thats zucchini, not vegetables in the plural). Despite the initial rush, it took them 45 minutes to bring the dessert, creme brulee, cold of course. Again with the poor treatment of the staff to whom we had to request dessert on three occasions."
La Flauta,"I found this to be more delicious than the Vinitus honey cod. The honey was richer, the cod was saltier, so it was the ultimate sweet-salty dish, and it was even more delicious because there was something white covering the cod slightly!!! I would like to say that this is the honey cod of my life. I also ate Bolognese pasta, but while I was in Paris and Basel, it occurred to me that Korean pasta tastes better. For me, it felt a little less salty and milder in taste compared to the pasta I ate in Korea!"
La Flauta,"On the recommendation of one of my friends we chose La Flauta for dinner and the truth is that we were very satisfied in general: I recommend you go with time and calmly because there are very long lines of about 30-45 minutes but it is worth it. (If you are not passing through you can reserve by calling without any problem) From the first moment, even though it was packed and it is still a place where people are in constant rotation, the treatment was very good. We ate a little bit of everything (croquettes, seafood, omelette, piccolos, angry eggs, hamburgers...) to add some hiccups, the croquettes arrived cold at the table and they immediately provided a solution to the problem, a detail on your part. A highlight of the restaurant is that it has two very well structured floors. - Would you recommend this site? If so, perfect to spend a pleasant time with your loved ones. Kid-friendliness: Yes, it just so happened that on the first floor there were several families with strollers."
La Flauta,
La Flauta,
La Flauta,"This was a recommendation from my Uncle who is a regular visitor and has friends in the city. We enjoyed it so much that we came back two nights in a row. We visited with our 2.5 year old son and the staff were very friendly. The food was great, quick service and all freshly prepared. I recommend the croquettes. Good value and great atmosphere, well priced too. Kid-friendliness: We dined with our 2.5 year old son. The staff were very kind and accommodating"
La Flauta,Very good food.
La Flauta,"Not only this was the only place we could have food at 11pm, the food itself was very good!"
Goiko,The burgers are great but the service is BETTER
Goiko,"Yuli is a genius, excellent service, very good Smash burger, we repeat"
Goiko,great service from waitress juli
Goiko,It is a very good restaurant with fast and very pleasant services.
Goiko,"Excellent service. Very good service from Osmar, he took great care of us!"
Goiko,Great food and the service really amazing. Great attention to detail by Osmar
Goiko,
Goiko,Isabellas treatment has been exceptional!! Very kind and attentive.
Goiko,
Goiko,Incredible price quality. Very good
Goiko,The food and service is very good.
Goiko,Very good. I would repeat.
Goiko,
Goiko,Very good place to eat and very cozy
Goiko,
Goiko,We have been very comfortable and Isabella has treated us with great kindness!!! We will repeat
Goiko,"Isabellas attention was wonderful. Plus, having vegan options is priceless! Thank you Isabella for your attention and sympathy!"
Goiko,I loved the food and the service. Isabella has been very kind and friendly! He treated us very well
Goiko,Good place to eat with friends. I ordered a burger with goat cheese and caramelized onion and it was very delicious! Thanks to Isabella for good service!
Goiko,"Osmar the best of the place! Always with a smile, very helpful and making sure everything was fine. If every Goiko had an Osmar on their staff, the chain would be much more successful. Congratulations!"
Goiko,Yesterday I was at the place and the food was super good. I ate a Yankee burger Yuliana served me super nice even though there were two serving me she always kept a smile
Goiko,There are no photos because there was nothing left!!!!!
Goiko,"Very good attention exactly from Oriana, I will keep coming back"
Goiko,Oriana is charming and the Smash burgers are the best in Bcn.
Goiko,"Excellent food, Oriana very friendly. Very attentive. Thank you very much I would come back a thousand times"
Goiko,Thanks for the good food and Osmar for being so kind.
Goiko,Isabella was incredible :)Thank you!
Goiko,"All very well! The food was very delicious, the service was fast and the staff was very nice, especially Osmar who served us very kindly and was super attentive. Totally recommended"
Goiko,"Very good service, they bring the food very quickly and all the staff is very friendly, especially Osmar."
Goiko,"Without a doubt a magnificent place to eat burgers, they are a 10/10 The attention of your waitress Fabiana undoubtedly left me amazed 10/10 The place is very beautiful, I definitely recommend it, I hope it stays like this forever"
Goiko,"We went to dinner there last Saturday. The waitress who served us, took our orders and served us the food is a sweetheart. A very happy and pleasant girl. The one who charged us at the counter gave us some answers and a terrible attitude."
Goiko,
Goiko,Everything spectacular! Yuliana and Fabi very attentive and friendly!
Goiko,"Good restaurant and good quality food, Yuliana and Fabi perfect!"
Goiko,The Burgers are divine and Miss Fabiana the best
Goiko,"Excellent service from a girl named Fabiana  beautiful, sweet, gentle and very attentive! You got all your recommendations right"
Goiko,"Excellent place, the burgers are of another level, I ate a Kevin Bacon and it was exquisite, the attention was first class, especially from the girls Yuliana and Fabiana"
Goiko,"Very good service from Juli, very kind and very attentive, not like the girl at the bar who, in addition to being rude, has been a despot. If she doesnt like working, she shouldnt do it, but she shouldnt pay for it with others."
Goiko,The burger was delicious and Isabellas service was impeccable.
Goiko,"Delicious the most smash! Isabella attended us, super friendly and very good treatment"
Goiko,"The food was very delicious, Isabella served us, super kind and attentive, everything was very good."
Goiko,Isabella took great care of us! The food is very delicious. We will be back!
Goiko,"Excellent food and service, Isabella took great care of us, very attentive and super friendly, thank you very much!!"
Goiko,"Isabella served us very well, super friendly and good vibes :) the food was very delicious"
Goiko,Great service from Isabella
Goiko,"Very good service, thank you Isabela"
Goiko,
Goiko,"Nos echaron con la comida practicamente en la boca, despues de haber consumido mas de 200  la camarera(cabello negro bajita) nos dice de mala manera que necesita la mesa.no habian pasado ni 2 minutos  de haber  terminado. Todo estaba muy bueno pero la actitud le la chica que nos cobro  pesima. Vegetarian options: Rffy Parking: Hhh"
Goiko,"Un servicio inmejorable. Tanto la comida como el trato al cliente de 10, en especial Oriana, estuvo en todo momento al tanto de nuestra comanda, resolutiva y muy agradable. Repetiremos sin duda. Parking: Parking"
Goiko,
Goiko,
Goiko,"The burger I had was just a work of art, so fresh and juicy, the potatoes with the local sauce were quite good as well. The service is nice, they speak quite okay English so we got both explained and recommended what were eating. The atmosphere makes it look like youre not even in Barcelona :) just a nice place overall"
Goiko,"A very nice girl named Oriane treated us very well, a very good place, with excellent food and very good treatment."
Goiko,
